date,tour,steame,opp,mag_cote_pct,mag_cote_pct_POSTHOC,mag_proba_pts,mag_proba_pts_POSTHOC,pin_open,pin_close,lead_min,entry_book,entry,soft_close,clv_book_pct,clv_vs_pin_pct,steame_gagne,pnl,uid
2026-09-14,ATP Challenger Biella,Gerard Campana Lee,Juan Cruz Martin Manzano,5.6,5.6,3.2,3.2,1.72,1.63,184.0,unibet,1.73,1.73,0.0,6.3,,,2026-09-14_juan_cruz_martin_manzano_gerard_campana_lee
2026-09-12,WTA Guadalajara,Lea Ma,Katarina Zavatska,5.3,0.0,2.3,0.1,2.26,2.26,354.0,bwin,2.15,2.18,-1.4,-4.9,oui,1.15,2026-09-12_lea_ma_katarina_zavatska
2026-09-12,ATP Challenger Genoa,Matej Dodig,Thiago Seyboth Wild,5.2,1.4,2.5,0.9,2.11,2.08,832.0,bwin,2.0,1.95,2.6,-3.8,non,-1,2026-09-12_thiago_seyboth_wild_matej_dodig
2026-09-13,ATP Challenger Biella,Adrian Oetzbach,Pierluigi Basile,5.2,8.3,2.0,3.5,2.9,2.66,275.0,unibet,2.75,2.75,0.0,3.4,non,-1,2026-09-13_adrian_oetzbach_pierluigi_basile
2026-09-14,ATP Challenger Szczecin,Nikita Mashtakov,Filip Pieczonka,5.2,5.2,2.5,2.5,2.1,1.99,496.0,betway,2.0,2.0,0.0,0.5,,,2026-09-14_filip_pieczonka_nikita_mashtakov
2026-09-13,ATP Challenger Tiburon,Ryan Seggerman,Andrew Fenty,5.1,5.1,2.9,2.9,1.77,1.68,92.0,unibet,1.85,1.67,10.8,9.9,oui,0.85,2026-09-13_andrew_fenty_ryan_seggerman
2026-09-14,ATP Challenger Phan Thiet 4,Masamichi Imamura,Enzo Aguiard,5.0,1.4,2.5,0.7,1.95,1.93,133.0,unibet,1.92,1.92,0.0,-0.3,,,2026-09-14_masamichi_imamura_enzo_aguiard
2026-09-12,ATP Challenger Istanbul 3,Jay Friend,Maks Kasnikowski,4.9,1.0,2.5,0.7,1.99,1.97,602.0,bet365,1.91,1.91,0.0,-3.1,oui,0.91,2026-09-12_maks_kasnikowski_jay_friend
2026-09-14,ATP Challenger Szczecin,Johan Nikles,Matyas Cerny,4.4,4.4,2.6,2.6,1.68,1.6,316.0,bet365,1.67,1.67,0.0,4.1,,,2026-09-14_johan_nikles_matyas_cerny
2026-09-11,ATP Challenger Shanghai,Ji Sung Nam,Luca Castelnuovo,4.3,3.8,2.1,1.8,2.09,2.01,203.0,bet365,2.1,2.1,0.0,4.5,non,-1,2026-09-11_ji_sung_nam_luca_castelnuovo
2026-09-12,ATP Challenger Tulln,Vitaliy Sachko,Mika Brunold,4.3,2.4,2.1,1.4,2.08,2.03,325.0,unibet,2.1,2.1,0.0,3.4,non,-1,2026-09-12_vitaliy_sachko_mika_brunold
2026-09-13,WTA Sao Paulo,Hayu Kinoshita,Cadence Brace,4.3,0.5,2.2,0.5,2.04,2.03,492.0,unibet,2.1,1.97,6.6,3.4,non,-1,2026-09-13_hayu_kinoshita_cadence_brace
2026-09-14,ATP Challenger Rennes,Inaki Montes-de la Torre,Murphy Cassone,4.3,4.9,2.5,2.9,1.71,1.62,556.0,888sport,1.61,1.53,5.3,-0.6,,,2026-09-14_murphy_cassone_inaki_montes_de_la_torre
2026-09-14,ATP Challenger Phan Thiet 4,Timofei Derepasko,Taisei Ichikawa,4.3,-3.5,2.2,1.6,1.95,2.02,86.0,bet365,2.0,2.0,0.0,-1.0,,,2026-09-14_timofei_derepasko_taisei_ichikawa
2026-09-12,ATP Challenger Tulln,Joao Lucas Reis Da Silva,Alex Barrena,4.2,-5.1,2.7,2.7,1.6,1.68,253.0,888sport,1.57,1.57,0.0,-6.5,oui,0.57,2026-09-12_joao_lucas_reis_da_silva_alex_barrena
2026-09-13,ATP Challenger Tiburon,Luca Staeheli,Maxwell Exsted,4.2,4.2,2.3,2.3,1.89,1.81,102.0,bwin,1.83,1.75,4.6,0.9,oui,0.83,2026-09-13_luca_staeheli_maxwell_exsted
2026-09-12,ATP Challenger Seville,Jaume Munar,Facundo Diaz Acosta,4.1,1.3,2.4,0.9,1.93,1.9,85.0,unibet,1.92,1.92,0.0,1.1,non,-1,2026-09-12_jaume_munar_facundo_diaz_acosta
2026-09-11,ATP Challenger Seville,Henrique Rocha,Dusan Lajovic,4.0,2.7,2.0,1.6,1.97,1.92,206.0,unibet,1.86,1.86,0.0,-3.0,non,-1,2026-09-11_henrique_rocha_dusan_lajovic
2026-09-12,ATP Challenger Genoa,Laslo Djere,Pedro Martinez,4.0,0.6,2.6,0.6,1.55,1.54,247.0,unibet,1.5,1.5,0.0,-2.8,non,-1,2026-09-12_laslo_djere_pedro_martinez
2026-09-13,ATP Challenger Biella,Juan Cruz Martin Manzano,Michele Mecarelli,4.0,6.2,2.6,4.2,1.51,1.42,111.0,888sport,1.5,1.4,7.1,5.8,oui,0.5,2026-09-13_juan_cruz_martin_manzano_michele_mecarelli
2026-09-13,ATP Challenger Tiburon,Roger Pascual Ferra,Li Tu,4.0,4.8,2.3,2.8,1.77,1.68,26.0,betway,1.65,1.65,0.0,-2.0,oui,0.65,2026-09-13_roger_pascual_ferra_li_tu
2026-09-12,ATP Challenger Phan Thiet 3,Yuta Shimizu,Arthur Weber,3.8,-8.2,2.6,4.5,1.5,1.62,1018.0,888sport,1.44,1.53,-5.8,-10.7,non,-1,2026-09-12_arthur_weber_yuta_shimizu
2026-09-14,WTA Sao Paulo,Lucrezia Stefanini,Nadia Podoroska,3.7,3.7,2.5,2.5,1.51,1.46,1226.0,unibet,1.49,1.49,0.0,2.3,,,2026-09-14_lucrezia_stefanini_nadia_podoroska
2026-09-14,ATP Challenger Szczecin,Santiago Rodriguez Taverna,Robert Strombachs,3.6,3.6,2.3,2.3,1.59,1.53,433.0,888sport,1.53,1.53,0.0,0.1,,,2026-09-14_robert_strombachs_santiago_rodriguez_taverna
2026-09-14,ATP Challenger Phan Thiet 4,Filip Peliwo,Sam Ryan Ziegann,3.5,-1.5,2.3,0.9,1.56,1.59,326.0,betway,1.55,1.5,3.3,-2.4,oui,0.55,2026-09-14_filip_peliwo_sam_ryan_ziegann
2026-09-14,ATP Challenger Phan Thiet 4,Hunter Heck,S D Prajwal Dev,3.5,4.7,2.3,3.2,1.47,1.4,314.0,888sport,1.44,1.4,3.1,3.3,oui,0.44,2026-09-14_s_d_prajwal_dev_hunter_heck
2026-09-13,ATP Challenger Biella,Federico Iannaccone,Luca Wiedenmann,3.3,5.5,2.3,3.8,1.43,1.35,165.0,betsson,1.41,1.33,6.0,4.5,oui,0.41,2026-09-13_federico_iannaccone_luca_wiedenmann
2026-09-13,ATP Challenger Rennes,Daniel de Jonge,Luca Sanchez,3.3,5.2,2.6,4.5,1.26,1.19,230.0,unibet,1.25,1.25,0.0,4.9,oui,0.25,2026-09-13_luca_sanchez_daniel_de_jonge
2026-09-13,WTA Guadalajara,Nao Hibino,Nadiia Kichenok,3.2,2.0,3.6,2.5,1.07,1.05,227.0,unibet,1.05,1.05,0.0,0.3,oui,0.05,2026-09-13_nadiia_kichenok_nao_hibino
2026-09-13,WTA Guadalajara,Iryna Shymanovich,Lea Ma,3.0,4.2,2.2,3.1,1.52,1.45,101.0,unibet,1.55,1.43,8.4,6.6,oui,0.55,2026-09-13_iryna_shymanovich_lea_ma
2026-09-13,ATP Challenger Tiburon,Ozan Baris,Lorenzo Claverie,3.0,1.3,2.4,1.0,1.25,1.24,32.0,unibet,1.29,1.29,0.0,4.3,oui,0.29,2026-09-13_ozan_baris_lorenzo_claverie
2026-09-13,WTA Sao Paulo,Xiaodi You,Victoria Bosio,2.9,0.8,2.2,0.9,1.29,1.28,395.0,unibet,1.3,1.22,6.6,1.9,oui,0.3,2026-09-13_xiaodi_you_victoria_bosio
2026-09-11,US Open Men Singles,Alexander Zverev,Karen Khachanov,2.5,1.8,2.1,1.4,1.23,1.21,23.0,bet365,1.22,1.22,0.0,1.1,oui,0.22,2026-09-11_alexander_zverev_karen_khachanov
