uid;date_match;joueurA;joueurB;surf;tournoi;coteA;coteB;probA_modele;probB_modele;evA_pct;evB_pct;marge;zones;psA;psB;mxA;mxB;avA;avB;clv_ps_pct;clv_avg_pct;score_confiance;injury;opp_streak;tourn_spec;elo_a;elo_b;srv_a;srv_b;ret_a;ret_b;trend_elo_a;trend_elo_b;rank_a;rank_b;forme_surf_a;forme_surf_b;forme_5A;forme_5B;clv_closing_60;clv_closing_15;anomalie;resultat;src_resultat
2026-06-01_madison_keys_diana_shnaider;2026-06-01;Madison Keys;Diana Shnaider;Clay;WTA French Open;1.62;2.25;0.6200;0.1400;0.44;-68.50;6.17;aucune;1.68;2.31;1.72;2.35;1.6438888888888894;2.2620370370370373;-3.57;-1.45;49;;;;1873.2;1801.5;59.6;58.1;43.5;42.9;-32.5;6.0;19;23;3V2D;2V3D;;;0.60;0.60;;0;
2026-06-01_anastasia_potapova_anna_kalinskaya;2026-06-01;Anastasia Potapova;Anna Kalinskaya;Clay;WTA French Open;1.46;2.65;0.9500;0.4450;38.70;17.93;6.23;aucune;1.51;2.74;1.53;2.86;1.480754716981132;2.6715094339622647;-3.31;-1.40;64;;;;1881.4;1774.1;55.3;57.9;44.7;42.9;117.9;-41.2;30;24;3V2D;2V3D;;;0.67;0.67;;0;
2026-06-01_maja_chwalinska_diane_parry;2026-06-01;Maja Chwalinska;Diane Parry;Clay;WTA French Open;1.55;2.41;0.5300;0.4100;-17.85;-1.19;6.01;aucune;1.57;2.55;1.62;2.56;1.552549019607843;2.440392156862746;-1.27;-0.16;63;;;;1675.2;1622.9;57;59.1;43.4;41.9;138.7;-3.0;114;92;5V0D;1V2D;;;0.64;0.64;;1;
2026-06-02_jakub_mensik_joao_fonseca;2026-06-02;Joao Fonseca;Jakub Mensik;Clay;ATP French Open;1.46;2.8;0.3000;0.6700;-56.20;87.60;4.21;B2+B3+B4;1.48;2.82;1.5;2.96;1.4571428571428569;2.7599999999999993;-1.35;0.20;46;;;;1808.1;1789.4;66.8;66;36;36.4;58.9;-48.5;30;27;2V3D;2V3D;;;0.68;0.68;;0;
2026-06-02_rafael_jodar_alexander_zverev;2026-06-02;Alexander Zverev;Rafael Jodar;Clay;ATP French Open;1.32;3.53;0.8200;0.2190;8.24;-22.69;4.09;A5;1.33;3.67;1.36;3.7;1.3205357142857133;3.4500000000000015;-0.75;-0.04;59;;;;2021.3;1935.1;69.3;63.9;36.6;39.8;44.6;213.2;3;29;3V2D;3V2D;;;1.50;1.50;;1;
2026-06-02_elina_svitolina_marta_kostyuk;2026-06-02;Marta Kostyuk;Elina Svitolina;Clay;WTA French Open;1.77;2.1;0.6800;0.9500;20.36;99.50;4.12;aucune;1.78;2.17;1.82;2.2;1.7628571428571427;2.084464285714286;-0.56;0.41;63;;;;1958.5;1988.5;59.1;60.1;46.2;44.4;116.6;37.1;15;7;5V0D;5V0D;;;0.00;0.00;;1;
2026-06-02_mirra_andreeva_sorana_cirstea;2026-06-02;Mirra Andreeva;Sorana Cirstea;Clay;WTA French Open;1.55;2.53;0.9000;0.4350;39.50;10.05;4.04;aucune;1.56;2.59;1.57;2.72;1.5289285714285712;2.5462500000000006;-0.64;1.38;74;;;;1993.1;1844.4;59.9;61.9;46.2;44.7;57.8;57.8;8;18;3V2D;4V1D;;;1.95;1.95;;1;
2026-06-03_anna_kalinskaya_maja_chwalinska;2026-06-03;Anna Kalinskaya;Maja Chwalinska;Clay;WTA French Open;1.78;1.86;0.4200;0.5300;-25.24;-1.42;9.94;aucune;;;1.92;2.05;1.8206666666666664;1.9608888888888891;;-2.23;33;;;;1774.1;1675.2;57.9;57;42.9;43.4;-41.2;138.7;24;114;2V3D;5V0D;;;12.07;12.07;;0;
2026-06-03_felix_auger-aliassime_flavio_cobolli;2026-06-03;Felix Auger-Aliassime;Flavio Cobolli;Clay;ATP French Open;1.79;1.85;0.5700;0.5400;2.03;-0.10;9.92;aucune;1.9;1.97;2.02;2.01;1.86;1.9351020408163264;-5.79;-3.76;7;;;;;1847.5;;63.6;;36.4;;11.6;;14;;2V3D;;;2.06;2.06;;0;
2026-06-03_aryna_sabalenka_diana_shnaider;2026-06-03;Aryna Sabalenka;Diana Shnaider;Clay;WTA French Open;1.11;5;0.8200;0.0800;-8.98;-60.00;10.09;aucune;;;1.15;9.35;1.1261111111111113;5.781666666666666;;-1.43;74;;;;2116.4;1801.5;63.9;58.1;44;42.9;6.3;6.0;1;23;3V2D;2V3D;;;4.55;4.55;;0;
