date,uid,joueur,book,prix_signale,cloture,ecart_annonce,clv,source,exclu,match_id,gele_le
2026-08-24T09:09,2026-08-24_mark_ceban_michele_ribecai,Michele Ribecai,unibet,1.7,1.56,4.3,9.0,live,,ceban-mark_vs_michele-ribecai@2026-08-24,2026-08-25
2026-08-24T09:18,2026-08-24_luis_guto_miguel_tyler_zink,Luis Guto Miguel,bet365.fr,2.42,2.03,7.4,19.2,live,,guto-luis-miguel_vs_tyler-zink@2026-08-24,2026-08-25
2026-08-24T09:18,2026-08-24_luis_guto_miguel_tyler_zink,Luis Guto Miguel,bet365,2.5,2.1,10.9,19.0,live,,guto-luis-miguel_vs_tyler-zink@2026-08-24,2026-08-25
2026-08-24T09:18,2026-08-24_mark_ceban_michele_ribecai,Michele Ribecai,leovegas,1.7,1.56,4.3,9.0,live,,ceban-mark_vs_michele-ribecai@2026-08-24,2026-08-25
2026-08-24T09:18,2026-08-24_mark_ceban_michele_ribecai,Michele Ribecai,unibet,1.7,1.56,4.3,9.0,live,,ceban-mark_vs_michele-ribecai@2026-08-24,2026-08-25
2026-08-24T09:18,2026-08-24_martin_damm_jr_abdullah_shelbayh,Martin Damm Jr,4casters,1.408,1.407,3.3,0.1,live,,abdullah-shelbayh_vs_damm-martin@2026-08-24,2026-08-25
2026-08-24T09:26,2026-08-24_luis_guto_miguel_tyler_zink,Luis Guto Miguel,bet365.fr,2.42,2.03,7.4,19.2,live,,guto-luis-miguel_vs_tyler-zink@2026-08-24,2026-08-25
2026-08-24T09:26,2026-08-24_luis_guto_miguel_tyler_zink,Luis Guto Miguel,bet365,2.5,2.1,10.9,19.0,live,,guto-luis-miguel_vs_tyler-zink@2026-08-24,2026-08-25
2026-08-24T09:26,2026-08-24_rebecca_marino_fiona_ferro,Fiona Ferro,winamax.fr,1.6,1.56,3.8,2.6,live,,ferro-fiona_vs_marino-rebecca@2026-08-24,2026-08-25
2026-08-24T09:34,2026-08-24_rebecca_marino_fiona_ferro,Fiona Ferro,winamax.fr,1.6,1.56,3.8,2.6,live,,ferro-fiona_vs_marino-rebecca@2026-08-24,2026-08-25
2026-08-24T10:09,2026-08-24_zhizhen_zhang_rei_sakamoto,Rei Sakamoto,winamax.fr,2.0,1.64,11.3,22.0,live,,rei-sakamoto_vs_zhang-zhizhen@2026-08-24,2026-08-25
2026-08-24T10:09,2026-08-24_zhizhen_zhang_rei_sakamoto,Rei Sakamoto,bwin,1.87,1.67,4.0,12.0,live,,rei-sakamoto_vs_zhang-zhizhen@2026-08-24,2026-08-25
2026-08-24T10:09,2026-08-24_zhizhen_zhang_rei_sakamoto,Rei Sakamoto,betsson,1.88,1.77,4.6,6.2,live,,rei-sakamoto_vs_zhang-zhizhen@2026-08-24,2026-08-25
